TABLE_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME
clubs	tax_account_chart_id	tax_account_charts
club_payment_period	club_id	clubs
club_payment_period	payment_period_id	payment_periods
division_member	division_id	divisions
division_member	member_id	members
division_membership_type	division_id	divisions
division_membership_type	membership_type_id	membership_types
finance_accounts	club_id	clubs
finance_contacts	club_id	clubs
media	club_id	clubs
memberships	membership_type_id	membership_types
model_has_permissions	permission_id	permissions
model_has_roles	role_id	roles
receipts	club_id	clubs
receipts	finance_contact_id	finance_contacts
receipts	tax_account_id	tax_accounts
role_has_permissions	permission_id	permissions
role_has_permissions	role_id	roles
statements	club_id	clubs
statements	finance_account_id	finance_accounts
tax_accounts	club_id	clubs
tax_accounts	tax_account_chart_id	tax_account_charts
transactions	receipt_id	receipts
transactions	statement_id	statements
