TABLE_NAME	INDEX_NAME	cols	NON_UNIQUE
clubs	clubs_slug_unique	slug	0
clubs	clubs_tax_account_chart_id_foreign	tax_account_chart_id	1
clubs	PRIMARY	id	0
divisions	PRIMARY	id	0
members	PRIMARY	id	0
memberships	memberships_membership_type_id_foreign	membership_type_id	1
memberships	PRIMARY	id	0
membership_types	PRIMARY	id	0
model_has_roles	model_has_roles_model_id_model_type_index	model_id,model_type	1
model_has_roles	model_has_roles_role_id_foreign	role_id	1
model_has_roles	model_has_roles_team_foreign_key_index	club_id	1
model_has_roles	PRIMARY	club_id,role_id,model_id,model_type	0
